step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.010,-0.152,-0.042,+0.000,+0.003,+0.051,+0.014,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
1,0.270,-0.009,-0.128,-0.042,+0.000,+0.003,+0.043,+0.014,-0.002,-0.018,-0.001,-3.14,+0.05,-9.52,+0.006,+0.318,1,-0.002,+0.00,+0.000,+0.0,0,
2,0.270,-0.008,-0.097,-0.042,+0.000,+0.003,+0.032,+0.014,+0.005,+0.072,+0.001,-2.40,+0.02,-9.81,+0.002,+0.240,1,-0.002,+0.00,+0.000,+0.0,0,
3,0.270,-0.008,-0.041,-0.038,+0.000,+0.003,+0.014,+0.013,-0.001,+0.386,+0.005,-0.70,+0.00,-9.71,+0.000,+0.072,1,-0.001,+0.00,+0.000,+0.0,0,
4,0.270,-0.002,-0.044,-0.038,+0.000,+0.001,+0.015,+0.013,+0.042,+0.258,+0.128,-0.02,+0.00,-9.50,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
5,0.270,-0.004,-0.049,-0.038,+0.000,+0.001,+0.016,+0.013,+0.012,+0.089,+0.121,-1.12,-0.00,-9.67,-0.000,+0.115,1,-0.001,+0.00,+0.000,+0.0,0,
6,0.270,+0.001,-0.046,-0.012,+0.000,-0.000,+0.015,+0.004,+0.003,+0.126,+0.087,-0.01,+0.00,-9.99,+0.000,+0.001,1,-0.001,+0.00,+0.000,+0.0,0,
7,0.270,+0.008,-0.041,+0.018,+0.000,-0.003,+0.014,-0.006,+0.007,+0.143,+0.051,-0.02,+0.00,-10.07,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
8,0.270,+0.006,-0.042,+0.018,+0.000,-0.002,+0.014,-0.006,-0.010,+0.122,+0.005,-0.02,-0.00,-10.10,-0.000,+0.002,1,-0.003,+0.00,+0.000,+0.0,0,
9,0.270,+0.003,-0.042,+0.011,+0.000,-0.001,+0.014,-0.004,-0.012,+0.118,-0.061,-0.03,-0.00,-10.11,-0.000,+0.003,1,-0.001,+0.00,+0.000,+0.0,0,
10,0.270,-0.002,-0.040,-0.010,+0.000,+0.001,+0.013,+0.003,-0.010,+0.117,-0.048,-0.16,-0.00,-10.08,-0.000,+0.015,1,-0.001,+0.00,+0.000,+0.0,0,
11,0.270,-0.005,-0.041,-0.025,+0.000,+0.002,+0.014,+0.008,-0.003,+0.112,-0.018,-0.05,-0.00,-10.10,-0.000,+0.005,1,-0.001,+0.00,+0.000,+0.0,0,
12,0.270,-0.004,-0.041,-0.030,+0.000,+0.001,+0.014,+0.010,+0.011,+0.108,+0.038,-0.06,+0.00,-10.10,+0.000,+0.006,1,-0.002,+0.00,+0.000,+0.0,0,
13,0.270,+0.001,-0.040,-0.010,+0.000,-0.000,+0.013,+0.003,+0.011,+0.109,+0.077,-0.07,-0.00,-10.09,-0.000,+0.007,1,-0.001,+0.00,+0.000,+0.0,0,
14,0.278,+0.005,-0.040,+0.010,+0.016,-0.002,+0.013,-0.003,+0.003,+0.106,+0.062,-0.09,+0.00,-10.09,+0.000,+0.009,1,-0.002,+0.00,+0.000,+0.0,0,
15,0.279,+0.002,-0.041,+0.004,+0.018,-0.001,+0.014,-0.001,-0.008,+0.104,+0.010,-0.10,-0.00,-10.23,-0.000,+0.010,1,-0.001,+0.00,+0.000,+0.0,0,
16,0.279,+0.002,-0.040,+0.008,+0.017,-0.001,+0.013,-0.003,-0.008,+0.104,-0.037,-0.12,-0.00,-10.42,-0.000,+0.011,1,-0.002,+0.00,+0.000,+0.0,0,
17,0.282,+0.001,-0.039,-0.000,+0.024,-0.000,+0.013,+0.000,-0.003,+0.103,-0.022,-0.14,-0.00,-10.50,-0.000,+0.014,1,-0.002,+0.00,+0.000,+0.0,0,
18,0.284,+0.000,-0.039,-0.000,+0.027,-0.000,+0.013,+0.000,-0.003,+0.101,-0.008,-0.15,-0.00,-10.59,-0.000,+0.015,1,-0.002,+0.00,+0.000,+0.0,0,
19,0.285,+0.002,-0.039,+0.004,+0.030,-0.001,+0.013,-0.001,-0.000,+0.099,+0.003,-0.17,-0.00,-10.69,-0.000,+0.016,1,-0.001,+0.00,+0.000,+0.0,0,
20,0.285,+0.001,-0.038,+0.002,+0.031,-0.000,+0.013,-0.001,-0.002,+0.099,+0.002,-0.19,-0.00,-10.78,-0.000,+0.018,1,-0.002,+0.00,+0.000,+0.0,0,
21,0.287,+0.002,-0.037,+0.010,+0.034,-0.001,+0.012,-0.003,-0.003,+0.098,-0.008,-0.22,-0.00,-10.85,-0.000,+0.020,1,+0.008,+0.00,+0.009,+0.0,0,
22,0.287,-0.002,-0.037,-0.009,+0.035,+0.001,+0.012,+0.003,-0.003,+0.096,-0.010,-0.24,-0.00,-10.89,-0.000,+0.022,1,+0.001,+0.00,+0.002,+0.0,0,
23,0.291,-0.000,-0.036,-0.004,+0.042,+0.000,+0.012,+0.001,+0.002,+0.093,-0.005,-0.27,+0.00,-10.95,+0.000,+0.025,1,+0.005,+0.00,+0.006,+0.0,0,
24,0.291,+0.002,-0.036,+0.004,+0.042,-0.001,+0.012,-0.001,+0.005,+0.091,+0.019,-0.29,+0.00,-11.04,+0.000,+0.027,1,-0.002,+0.00,+0.000,+0.0,0,
25,0.292,+0.000,-0.032,+0.001,+0.044,-0.000,+0.011,-0.000,-0.003,+0.090,+0.013,-0.65,-0.00,-10.93,-0.000,+0.059,1,-0.001,+0.00,+0.000,+0.0,0,
26,0.277,-0.003,-0.031,-0.010,+0.014,+0.001,+0.010,+0.003,-0.004,+0.088,-0.008,-0.35,-0.00,-11.15,-0.000,+0.031,1,-0.002,+0.00,+0.000,+0.0,0,
27,0.277,+0.002,-0.031,+0.004,+0.014,-0.001,+0.010,-0.001,+0.006,+0.078,+0.003,-0.39,+0.00,-10.11,+0.000,+0.038,1,-0.002,+0.00,+0.000,+0.0,0,
28,0.279,+0.000,-0.030,-0.000,+0.019,-0.000,+0.010,+0.000,-0.001,+0.078,+0.016,-0.42,-0.00,-9.68,-0.000,+0.043,1,-0.001,+0.00,+0.000,+0.0,0,
29,0.281,+0.006,-0.029,+0.027,+0.022,-0.002,+0.010,-0.009,-0.006,+0.078,+0.001,-0.44,-0.00,-9.75,-0.000,+0.045,1,-0.002,+0.00,+0.000,+0.0,0,
30,0.286,+0.010,-0.028,+0.051,+0.032,-0.003,+0.009,-0.017,-0.007,+0.073,-0.023,-0.48,-0.00,-10.31,-0.000,+0.046,1,-0.002,+0.00,+0.000,+0.0,0,
31,0.289,-0.002,-0.027,+0.008,+0.039,+0.001,+0.009,-0.003,-0.021,+0.072,-0.080,-0.51,-0.00,-10.61,-0.000,+0.048,1,-0.002,+0.00,+0.000,+0.0,0,
32,0.294,-0.011,-0.026,-0.037,+0.047,+0.004,+0.009,+0.012,-0.010,+0.069,-0.108,-0.56,-0.00,-10.80,-0.000,+0.052,1,-0.002,+0.00,+0.000,+0.0,0,
33,0.305,-0.001,-0.025,-0.012,+0.069,+0.000,+0.008,+0.004,+0.027,+0.066,+0.031,-0.60,+0.00,-11.03,+0.000,+0.054,1,+0.007,+0.00,+0.008,+0.0,0,
34,0.305,+0.003,-0.024,-0.004,+0.070,-0.001,+0.008,+0.001,+0.031,+0.064,+0.109,-0.62,+0.00,-11.11,+0.000,+0.056,1,+0.005,+0.00,+0.007,+0.0,0,
35,0.305,-0.002,-0.023,-0.004,+0.070,+0.001,+0.008,+0.001,-0.011,+0.061,+0.049,-0.68,-0.00,-11.63,-0.000,+0.058,1,+0.026,+0.00,+0.028,+0.0,0,
36,0.305,-0.000,-0.022,-0.004,+0.070,+0.000,+0.007,+0.001,+0.001,+0.059,-0.017,-0.72,+0.00,-11.77,+0.000,+0.061,1,+0.029,+0.00,+0.030,+0.0,0,
37,0.308,+0.000,-0.021,-0.004,+0.077,-0.000,+0.007,+0.001,+0.005,+0.056,-0.010,-0.75,+0.00,-11.81,+0.000,+0.064,1,+0.021,+0.00,+0.023,+0.0,0,
