step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.008,-0.188,-0.038,+0.000,+0.003,+0.063,+0.013,+0.000,+0.000,-0.000,-3.00,-0.00,-9.34,-0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
1,0.270,-0.009,-0.160,-0.038,+0.000,+0.003,+0.053,+0.013,-0.007,-0.011,-0.000,-3.06,+0.04,-8.43,+0.005,+0.348,1,-0.002,+0.00,+0.000,+0.0,0,
2,0.270,+0.033,-0.117,+0.150,+0.000,-0.011,+0.039,-0.050,-0.005,+0.150,-0.001,-2.57,-0.05,-10.34,-0.004,+0.243,1,-0.002,+0.00,+0.000,+0.0,0,
3,0.270,-0.003,-0.055,-0.009,+0.000,+0.001,+0.018,+0.003,-0.001,+0.487,-0.036,-0.70,-0.00,-9.57,-0.000,+0.073,1,-0.001,+0.00,+0.000,+0.0,0,
4,0.270,-0.016,-0.048,-0.038,+0.000,+0.005,+0.016,+0.013,-0.051,+0.417,-0.226,-0.03,-0.00,-9.23,-0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
5,0.270,-0.005,-0.074,-0.038,+0.000,+0.002,+0.025,+0.013,+0.041,+0.118,+0.019,-0.01,+0.00,-9.89,+0.000,+0.001,1,-0.002,+0.00,+0.000,+0.0,0,
6,0.270,-0.006,-0.064,-0.047,+0.000,+0.002,+0.021,+0.016,+0.034,+0.184,+0.158,-0.02,+0.00,-10.01,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
7,0.270,-0.006,-0.057,-0.038,+0.000,+0.002,+0.019,+0.013,+0.007,+0.200,+0.134,-0.03,+0.00,-10.07,+0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
8,0.271,-0.001,-0.057,-0.022,+0.003,+0.000,+0.019,+0.007,+0.015,+0.166,+0.083,-0.03,+0.00,-10.10,+0.000,+0.003,1,-0.001,+0.00,+0.000,+0.0,0,
9,0.274,-0.001,-0.057,-0.020,+0.009,+0.000,+0.019,+0.007,+0.009,+0.158,+0.060,-0.03,+0.00,-10.13,+0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
10,0.276,-0.002,-0.055,-0.024,+0.013,+0.001,+0.018,+0.008,+0.000,+0.159,+0.035,-0.05,+0.00,-10.26,+0.000,+0.004,1,-0.002,+0.00,+0.000,+0.0,0,
11,0.278,-0.001,-0.053,-0.017,+0.015,+0.000,+0.018,+0.006,+0.003,+0.154,+0.038,-0.04,+0.00,-10.33,+0.000,+0.004,1,-0.001,+0.00,+0.000,+0.0,0,
12,0.281,+0.001,-0.052,-0.009,+0.023,-0.000,+0.017,+0.003,+0.005,+0.144,+0.049,-0.07,+0.00,-10.43,+0.000,+0.006,1,-0.002,+0.00,+0.000,+0.0,0,
13,0.281,+0.002,-0.048,-0.000,+0.023,-0.001,+0.016,+0.000,-0.003,+0.140,+0.032,-0.46,-0.00,-10.42,-0.000,+0.044,1,-0.001,+0.00,+0.000,+0.0,0,
14,0.285,+0.001,-0.048,-0.004,+0.030,-0.000,+0.016,+0.001,-0.004,+0.134,+0.009,-0.09,-0.00,-10.66,-0.000,+0.008,1,-0.002,+0.00,+0.000,+0.0,0,
15,0.285,+0.001,-0.049,-0.004,+0.031,-0.000,+0.016,+0.001,-0.004,+0.126,-0.001,-0.11,-0.00,-10.76,-0.000,+0.010,1,-0.001,+0.00,+0.000,+0.0,0,
16,0.288,+0.001,-0.044,-0.005,+0.036,-0.000,+0.015,+0.002,-0.001,+0.129,+0.008,-0.60,-0.00,-10.64,-0.000,+0.057,1,-0.002,+0.00,+0.000,+0.0,0,
