step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.010,-0.152,-0.046,+0.000,+0.003,+0.051,+0.015,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
1,0.270,-0.010,-0.125,-0.046,+0.000,+0.003,+0.042,+0.015,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.002,+0.00,+0.000,+0.0,0,
2,0.270,-0.011,-0.101,-0.046,+0.000,+0.004,+0.034,+0.015,-0.003,-0.000,+0.006,-2.92,-0.01,-9.38,-0.001,+0.302,1,-0.002,+0.00,+0.000,+0.0,0,
3,0.270,-0.008,-0.059,-0.038,+0.000,+0.003,+0.020,+0.013,+0.001,+0.192,+0.002,-1.93,+0.02,-10.02,+0.002,+0.191,1,-0.002,+0.00,+0.000,+0.0,0,
4,0.270,-0.002,-0.019,-0.037,+0.000,+0.001,+0.006,+0.012,+0.039,+0.344,+0.101,-1.13,+0.00,-9.27,+0.000,+0.122,1,-0.001,+0.00,+0.000,+0.0,0,
5,0.270,+0.002,-0.033,-0.029,+0.000,-0.001,+0.011,+0.010,+0.042,+0.165,+0.147,-0.03,+0.00,-9.62,+0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
6,0.270,+0.002,-0.043,-0.007,+0.000,-0.001,+0.014,+0.002,-0.006,+0.081,+0.079,-0.01,-0.00,-9.96,-0.000,+0.001,1,-0.002,+0.00,+0.000,+0.0,0,
7,0.270,+0.003,-0.038,-0.001,+0.000,-0.001,+0.013,+0.000,-0.002,+0.124,+0.030,-0.02,-0.00,-10.05,-0.000,+0.002,1,-0.001,+0.00,+0.000,+0.0,0,
8,0.270,+0.003,-0.039,+0.000,+0.000,-0.001,+0.013,-0.000,-0.002,+0.118,-0.007,+0.00,-0.00,-10.10,-0.000,-0.000,1,-0.001,+0.00,+0.000,+0.0,0,
9,0.270,+0.002,-0.040,+0.000,+0.000,-0.001,+0.013,-0.000,-0.005,+0.108,-0.009,-0.03,-0.00,-10.10,-0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
10,0.270,+0.002,-0.039,+0.000,+0.000,-0.001,+0.013,-0.000,-0.003,+0.112,+0.000,-0.03,-0.00,-10.11,-0.000,+0.003,1,-0.001,+0.00,+0.000,+0.0,0,
11,0.270,+0.001,-0.039,-0.005,+0.000,-0.000,+0.013,+0.002,-0.003,+0.109,+0.003,-0.04,-0.00,-10.11,-0.000,+0.004,1,-0.002,+0.00,+0.000,+0.0,0,
12,0.272,+0.002,-0.039,+0.000,+0.003,-0.001,+0.013,-0.000,-0.001,+0.106,+0.005,-0.05,-0.00,-10.10,-0.000,+0.005,1,-0.001,+0.00,+0.000,+0.0,0,
13,0.270,+0.002,-0.040,+0.003,+0.000,-0.001,+0.013,-0.001,-0.001,+0.105,+0.009,-0.06,-0.00,-10.13,-0.000,+0.006,1,-0.002,+0.00,+0.000,+0.0,0,
14,0.270,-0.000,-0.040,-0.005,+0.000,+0.000,+0.013,+0.002,-0.005,+0.106,-0.002,-0.08,-0.00,-10.12,-0.000,+0.007,1,-0.001,+0.00,+0.000,+0.0,0,
15,0.270,-0.000,-0.039,-0.005,+0.000,+0.000,+0.013,+0.002,-0.003,+0.106,-0.008,-0.09,-0.00,-10.08,-0.000,+0.009,1,-0.002,+0.00,+0.000,+0.0,0,
16,0.278,+0.000,-0.039,-0.005,+0.015,-0.000,+0.013,+0.002,+0.002,+0.102,+0.013,-0.11,+0.00,-10.06,+0.000,+0.011,1,-0.002,+0.00,+0.000,+0.0,0,
17,0.278,+0.002,-0.039,+0.001,+0.017,-0.001,+0.013,-0.000,+0.001,+0.101,+0.016,-0.12,+0.00,-10.16,+0.000,+0.012,1,-0.002,+0.00,+0.000,+0.0,0,
18,0.270,+0.001,-0.039,+0.000,+0.000,-0.000,+0.013,-0.000,-0.001,+0.100,+0.010,-0.14,-0.00,-10.37,-0.000,+0.013,1,-0.001,+0.00,+0.000,+0.0,0,
19,0.282,+0.002,-0.039,+0.004,+0.023,-0.001,+0.013,-0.001,-0.003,+0.099,-0.004,-0.16,-0.00,-10.31,-0.000,+0.015,1,-0.002,+0.00,+0.000,+0.0,0,
20,0.284,+0.003,-0.038,+0.010,+0.028,-0.001,+0.013,-0.003,-0.003,+0.099,-0.008,-0.18,-0.00,-10.45,-0.000,+0.017,1,-0.002,+0.00,+0.000,+0.0,0,
21,0.285,-0.000,-0.037,-0.000,+0.030,+0.000,+0.012,+0.000,-0.005,+0.097,-0.013,-0.20,-0.00,-10.65,-0.000,+0.019,1,-0.002,+0.00,+0.000,+0.0,0,
22,0.287,-0.001,-0.037,-0.003,+0.034,+0.000,+0.012,+0.001,-0.005,+0.095,-0.019,-0.22,-0.00,-10.76,-0.000,+0.021,1,-0.001,+0.00,+0.000,+0.0,0,
23,0.288,-0.001,-0.037,-0.005,+0.036,+0.000,+0.012,+0.002,+0.003,+0.093,-0.001,-0.26,+0.00,-10.86,+0.000,+0.024,1,-0.002,+0.00,+0.000,+0.0,0,
24,0.290,-0.002,-0.036,-0.010,+0.040,+0.001,+0.012,+0.003,+0.003,+0.092,+0.012,-0.27,+0.00,-10.94,+0.000,+0.025,1,-0.002,+0.00,+0.000,+0.0,0,
25,0.291,+0.002,-0.035,+0.004,+0.041,-0.001,+0.012,-0.001,+0.004,+0.091,+0.019,-0.31,+0.00,-11.05,+0.000,+0.028,1,-0.002,+0.00,+0.000,+0.0,0,
26,0.291,+0.002,-0.034,+0.004,+0.042,-0.001,+0.011,-0.001,+0.002,+0.089,+0.019,-0.33,+0.00,-11.09,+0.000,+0.030,1,+0.002,+0.00,+0.004,+0.0,0,
