step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.010,-0.152,-0.032,+0.000,+0.003,+0.051,+0.011,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
1,0.270,-0.008,-0.130,-0.028,+0.000,+0.003,+0.043,+0.009,+0.001,-0.020,-0.000,-3.13,+0.07,-10.35,+0.006,+0.294,1,-0.002,+0.00,+0.000,+0.0,0,
2,0.270,-0.003,-0.105,-0.016,+0.000,+0.001,+0.035,+0.005,+0.006,+0.017,+0.002,-2.49,-0.02,-9.45,-0.002,+0.258,1,-0.001,+0.00,+0.000,+0.0,0,
3,0.270,-0.003,-0.061,-0.012,+0.000,+0.001,+0.020,+0.004,+0.001,+0.240,+0.001,-1.74,+0.02,-10.23,+0.002,+0.169,1,-0.002,+0.00,+0.000,+0.0,0,
4,0.270,-0.001,-0.039,-0.015,+0.000,+0.000,+0.013,+0.005,+0.021,+0.328,+0.038,-0.02,+0.00,-9.27,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
5,0.270,-0.003,-0.058,-0.023,+0.000,+0.001,+0.019,+0.008,+0.009,+0.106,+0.056,-0.01,+0.00,-9.78,+0.000,+0.001,1,-0.002,+0.00,+0.000,+0.0,0,
6,0.270,-0.005,-0.053,-0.028,+0.000,+0.002,+0.018,+0.009,+0.005,+0.137,+0.038,-0.02,+0.00,-9.99,+0.000,+0.002,1,-0.001,+0.00,+0.000,+0.0,0,
7,0.270,-0.003,-0.047,-0.024,+0.000,+0.001,+0.016,+0.008,+0.013,+0.172,+0.043,-0.02,+0.00,-10.06,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
8,0.270,-0.004,-0.047,-0.028,+0.000,+0.001,+0.016,+0.009,+0.012,+0.138,+0.061,-0.02,+0.00,-10.10,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
9,0.270,+0.003,-0.042,-0.008,+0.000,-0.001,+0.014,+0.003,+0.008,+0.129,+0.059,-0.45,-0.00,-9.99,-0.000,+0.045,1,-0.002,+0.00,+0.000,+0.0,0,
10,0.276,+0.002,-0.042,-0.007,+0.013,-0.001,+0.014,+0.002,-0.001,+0.122,+0.041,-0.04,-0.00,-10.11,-0.000,+0.004,1,-0.002,+0.00,+0.000,+0.0,0,
11,0.282,+0.005,-0.042,+0.005,+0.024,-0.002,+0.014,-0.002,-0.004,+0.114,+0.008,-0.05,-0.00,-10.26,-0.000,+0.005,1,-0.001,+0.00,+0.000,+0.0,0,
12,0.282,+0.004,-0.042,+0.003,+0.023,-0.001,+0.014,-0.001,-0.003,+0.113,+0.003,-0.06,-0.00,-10.43,-0.000,+0.006,1,+0.009,+0.00,+0.011,+0.0,0,
13,0.285,+0.003,-0.041,+0.006,+0.029,-0.001,+0.014,-0.002,-0.009,+0.113,-0.008,-0.07,-0.00,-10.63,-0.000,+0.007,1,-0.001,+0.00,+0.000,+0.0,0,
14,0.285,+0.001,-0.041,+0.000,+0.030,-0.000,+0.014,-0.000,-0.007,+0.110,-0.012,-0.09,-0.00,-10.77,-0.000,+0.008,1,-0.002,+0.00,+0.000,+0.0,0,
15,0.287,+0.001,-0.040,-0.001,+0.034,-0.000,+0.013,+0.000,-0.005,+0.108,-0.011,-0.10,-0.00,-10.86,-0.000,+0.009,1,-0.002,+0.00,+0.000,+0.0,0,
16,0.288,+0.000,-0.040,-0.003,+0.036,-0.000,+0.013,+0.001,-0.001,+0.105,+0.002,-0.12,-0.00,-10.94,-0.000,+0.011,1,-0.001,+0.00,+0.000,+0.0,0,
17,0.287,-0.001,-0.040,-0.007,+0.035,+0.000,+0.013,+0.002,-0.001,+0.104,+0.007,-0.13,-0.00,-10.99,-0.000,+0.012,1,-0.002,+0.00,+0.000,+0.0,0,
18,0.287,+0.001,-0.039,-0.001,+0.035,-0.000,+0.013,+0.000,+0.002,+0.103,+0.011,-0.15,+0.00,-11.02,+0.000,+0.014,1,-0.001,+0.00,+0.000,+0.0,0,
19,0.286,+0.003,-0.039,+0.005,+0.033,-0.001,+0.013,-0.002,+0.002,+0.103,+0.015,-0.17,+0.00,-11.02,+0.000,+0.015,1,-0.002,+0.00,+0.000,+0.0,0,
20,0.289,+0.002,-0.038,+0.005,+0.039,-0.001,+0.013,-0.002,-0.007,+0.098,-0.003,-0.20,-0.00,-10.97,-0.000,+0.018,1,-0.002,+0.00,+0.000,+0.0,0,
21,0.291,+0.002,-0.037,+0.006,+0.042,-0.001,+0.012,-0.002,-0.005,+0.097,-0.016,-0.22,-0.00,-11.00,-0.000,+0.020,1,-0.001,+0.00,+0.000,+0.0,0,
22,0.291,+0.001,-0.038,+0.003,+0.041,-0.000,+0.013,-0.001,-0.003,+0.095,-0.014,-0.25,-0.00,-11.09,-0.000,+0.022,1,-0.002,+0.00,+0.000,+0.0,0,
23,0.291,+0.001,-0.037,+0.003,+0.041,-0.000,+0.012,-0.001,-0.002,+0.095,-0.009,-0.27,-0.00,-11.12,-0.000,+0.025,1,-0.002,+0.00,+0.000,+0.0,0,
24,0.292,+0.001,-0.036,+0.003,+0.045,-0.000,+0.012,-0.001,-0.002,+0.093,-0.005,-0.30,-0.00,-11.12,-0.000,+0.027,1,-0.001,+0.00,+0.000,+0.0,0,
25,0.295,-0.000,-0.035,+0.000,+0.049,+0.000,+0.012,-0.000,-0.002,+0.089,-0.005,-0.33,-0.00,-11.16,-0.000,+0.029,1,-0.002,+0.00,+0.000,+0.0,0,
