step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.009,-0.152,-0.041,+0.000,+0.003,+0.051,+0.014,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.000,+0.00,+0.000,+0.0,0,
1,0.270,-0.009,-0.125,-0.041,+0.000,+0.003,+0.042,+0.014,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,+0.002,+0.00,+0.004,+0.0,0,
2,0.270,-0.010,-0.102,-0.042,+0.000,+0.003,+0.034,+0.014,-0.003,-0.004,+0.003,-2.92,-0.00,-9.37,-0.000,+0.302,1,-0.002,+0.00,+0.000,+0.0,0,
3,0.270,-0.008,-0.059,-0.038,+0.000,+0.003,+0.020,+0.013,+0.001,+0.195,+0.002,-1.95,+0.02,-9.99,+0.002,+0.193,1,-0.001,+0.00,+0.000,+0.0,0,
4,0.270,-0.004,-0.025,-0.018,+0.000,+0.001,+0.008,+0.006,-0.001,+0.375,+0.031,-0.41,+0.00,-9.40,+0.000,+0.043,1,-0.001,+0.00,+0.000,+0.0,0,
5,0.270,+0.004,-0.034,-0.013,+0.000,-0.001,+0.011,+0.004,+0.047,+0.207,+0.130,-0.01,+0.00,-9.51,+0.000,+0.002,1,+0.021,+0.00,+0.023,+0.0,0,
6,0.270,+0.004,-0.047,+0.009,+0.000,-0.001,+0.016,-0.003,-0.006,+0.079,+0.053,-0.01,-0.00,-9.92,-0.000,+0.001,1,+0.053,+0.00,+0.054,+0.0,0,
7,0.270,-0.000,-0.038,-0.006,+0.000,+0.000,+0.013,+0.002,-0.007,+0.146,-0.030,-0.02,-0.00,-10.06,-0.000,+0.002,1,+0.026,+0.00,+0.028,+0.0,0,
8,0.270,+0.001,-0.037,-0.001,+0.000,-0.000,+0.012,+0.000,-0.002,+0.138,-0.038,-0.02,-0.00,-10.09,-0.000,+0.002,1,+0.015,+0.00,+0.017,+0.0,0,
9,0.270,+0.002,-0.041,+0.001,+0.000,-0.001,+0.014,-0.000,+0.005,+0.111,-0.002,-0.03,+0.00,-10.10,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
10,0.270,+0.010,-0.040,+0.038,+0.000,-0.003,+0.013,-0.013,-0.002,+0.111,+0.018,-0.03,-0.00,-10.11,-0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
11,0.270,+0.002,-0.039,+0.015,+0.000,-0.001,+0.013,-0.005,-0.018,+0.114,-0.038,-0.05,-0.00,-10.11,-0.000,+0.005,1,-0.002,+0.00,+0.000,+0.0,0,
12,0.271,-0.009,-0.039,-0.037,+0.001,+0.003,+0.013,+0.012,-0.009,+0.108,-0.082,-0.05,-0.00,-10.10,-0.000,+0.005,1,-0.002,+0.00,+0.000,+0.0,0,
13,0.270,-0.007,-0.039,-0.038,+0.000,+0.002,+0.013,+0.013,+0.013,+0.107,-0.009,-0.07,+0.00,-10.12,+0.000,+0.006,1,-0.001,+0.00,+0.000,+0.0,0,
14,0.270,+0.011,-0.040,+0.030,+0.000,-0.004,+0.013,-0.010,+0.025,+0.106,+0.093,-0.08,+0.00,-10.12,+0.000,+0.008,1,-0.001,+0.00,+0.000,+0.0,0,
