step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.009,-0.152,-0.042,+0.000,+0.003,+0.051,+0.014,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.003,+0.00,+0.000,+0.0,0,
1,0.270,+0.011,-0.097,+0.032,+0.000,-0.004,+0.032,-0.011,+0.023,+0.373,+0.091,-0.07,+0.00,-10.10,+0.000,+0.007,1,-0.016,+0.00,+0.000,+0.0,0,
2,0.270,+0.015,-0.035,+0.032,+0.000,-0.005,+0.012,-0.011,+0.023,+0.373,+0.090,-0.08,+0.00,-10.09,+0.000,+0.008,1,-0.000,+0.00,+0.000,+0.0,0,
3,0.270,+0.017,-0.022,+0.038,+0.000,-0.006,+0.007,-0.013,+0.023,+0.373,+0.090,-0.08,+0.00,-10.09,+0.000,+0.008,1,-0.002,+0.00,+0.000,+0.0,0,
4,0.295,+0.008,-0.053,+0.038,+0.050,-0.003,+0.018,-0.013,-0.042,+0.055,-0.075,-0.07,-0.00,-10.09,-0.000,+0.007,1,-0.001,+0.00,+0.000,+0.0,0,
5,0.296,+0.005,-0.056,+0.033,+0.052,-0.002,+0.019,-0.011,-0.040,+0.050,-0.123,-0.08,-0.00,-10.36,-0.000,+0.008,1,-0.002,+0.00,+0.000,+0.0,0,
6,0.270,+0.008,-0.041,+0.038,+0.000,-0.003,+0.014,-0.013,-0.009,+0.161,-0.094,-0.12,-0.00,-11.15,-0.000,+0.010,1,-0.002,+0.00,+0.000,+0.0,0,
7,0.270,+0.004,-0.045,+0.028,+0.000,-0.001,+0.015,-0.009,-0.018,+0.107,-0.063,-0.13,-0.00,-9.99,-0.000,+0.013,1,-0.001,+0.00,+0.000,+0.0,0,
8,0.304,-0.001,-0.046,+0.012,+0.067,+0.000,+0.015,-0.004,-0.020,+0.101,-0.069,-0.14,-0.00,-9.54,-0.000,+0.015,1,-0.002,+0.00,+0.000,+0.0,0,
9,0.305,-0.000,-0.039,+0.006,+0.071,+0.000,+0.013,-0.002,+0.001,+0.121,-0.048,-0.50,+0.00,-10.83,+0.000,+0.046,1,-0.002,+0.00,+0.000,+0.0,0,
10,0.307,-0.000,-0.038,+0.004,+0.074,+0.000,+0.013,-0.001,+0.003,+0.109,-0.016,-0.22,+0.00,-11.54,+0.000,+0.019,1,-0.002,+0.00,+0.000,+0.0,0,
11,0.310,-0.001,-0.038,-0.000,+0.079,+0.000,+0.013,+0.000,-0.000,+0.097,-0.000,-0.23,-0.00,-11.92,-0.000,+0.019,1,-0.001,+0.00,+0.000,+0.0,0,
12,0.310,-0.000,-0.038,+0.004,+0.080,+0.000,+0.013,-0.001,+0.001,+0.099,-0.004,-0.25,+0.00,-12.08,+0.000,+0.021,1,-0.003,+0.00,+0.000,+0.0,0,
13,0.311,-0.001,-0.036,+0.001,+0.082,+0.000,+0.012,-0.000,+0.000,+0.098,-0.006,-0.31,+0.00,-12.24,+0.000,+0.025,1,+0.002,+0.00,+0.004,+0.0,0,
14,0.313,-0.001,-0.036,+0.001,+0.087,+0.000,+0.012,-0.000,+0.001,+0.095,-0.007,-0.30,+0.00,-12.30,+0.000,+0.024,1,+0.003,+0.00,+0.005,+0.0,0,
15,0.316,-0.002,-0.036,-0.004,+0.091,+0.001,+0.012,+0.001,+0.002,+0.091,-0.003,-0.37,+0.00,-12.36,+0.000,+0.030,1,+0.012,+0.00,+0.014,+0.0,0,
16,0.316,-0.001,-0.035,-0.004,+0.091,+0.000,+0.012,+0.001,+0.003,+0.091,+0.002,-0.26,-0.00,-12.56,-0.000,+0.021,1,+0.017,+0.00,+0.019,+0.0,0,
17,0.315,-0.001,-0.033,-0.004,+0.090,+0.000,+0.011,+0.001,+0.004,+0.089,+0.009,-0.43,+0.00,-12.47,+0.000,+0.034,1,+0.033,+0.00,+0.034,+0.0,0,
18,0.318,-0.001,-0.032,-0.007,+0.097,+0.000,+0.011,+0.002,+0.003,+0.087,+0.012,-0.55,+0.00,-12.39,+0.000,+0.044,1,-0.001,+0.00,+0.000,+0.0,0,
19,0.319,-0.001,-0.031,-0.006,+0.097,+0.000,+0.010,+0.002,+0.002,+0.083,+0.010,-0.49,+0.00,-12.49,+0.000,+0.040,1,-0.002,+0.00,+0.000,+0.0,0,
20,0.270,-0.033,-0.030,-0.150,+0.000,+0.011,+0.010,+0.050,+0.003,+0.079,+0.013,-0.54,+0.00,-12.56,+0.000,+0.043,1,-0.002,+0.00,+0.000,+0.0,0,
21,0.302,+0.020,-0.027,+0.059,+0.065,-0.007,+0.009,-0.020,+0.046,+0.077,+0.118,-0.58,+0.00,-9.56,+0.000,+0.061,1,-0.002,+0.00,+0.000,+0.0,0,
22,0.302,+0.014,-0.023,+0.037,+0.064,-0.005,+0.008,-0.012,+0.019,+0.070,+0.261,-0.97,-0.00,-9.43,-0.000,+0.102,1,-0.002,+0.00,+0.000,+0.0,0,
23,0.302,+0.001,-0.022,+0.027,+0.065,-0.000,+0.007,-0.009,-0.060,+0.061,-0.119,-0.67,-0.00,-11.37,-0.000,+0.059,1,-0.001,+0.00,+0.000,+0.0,0,
24,0.315,+0.002,-0.021,+0.025,+0.090,-0.001,+0.007,-0.008,-0.021,+0.054,-0.197,-0.71,-0.00,-11.44,-0.000,+0.062,1,-0.002,+0.00,+0.000,+0.0,0,
25,0.334,+0.002,-0.020,+0.011,+0.129,-0.001,+0.007,-0.004,+0.003,+0.055,-0.077,-0.76,+0.00,-11.74,+0.000,+0.065,1,-0.001,+0.00,+0.000,+0.0,0,
26,0.330,+0.003,-0.019,+0.020,+0.120,-0.001,+0.006,-0.007,-0.006,+0.053,-0.015,-0.80,-0.00,-12.24,-0.000,+0.066,1,-0.002,+0.00,+0.000,+0.0,0,
27,0.331,+0.001,-0.019,+0.016,+0.121,-0.000,+0.006,-0.005,-0.006,+0.049,-0.018,-0.87,-0.00,-12.92,-0.000,+0.067,1,-0.002,+0.00,+0.000,+0.0,0,
28,0.330,+0.002,-0.017,+0.016,+0.120,-0.001,+0.006,-0.005,-0.003,+0.047,-0.048,-0.93,+0.00,-13.05,+0.000,+0.071,1,-0.002,+0.00,+0.000,+0.0,0,
29,0.331,+0.004,-0.016,+0.025,+0.123,-0.001,+0.005,-0.008,-0.003,+0.046,-0.043,-0.96,+0.00,-13.05,+0.000,+0.074,1,-0.002,+0.00,+0.000,+0.0,0,
30,0.331,+0.003,-0.015,+0.024,+0.122,-0.001,+0.005,-0.008,-0.007,+0.042,-0.038,-1.02,-0.00,-13.05,-0.000,+0.078,1,-0.000,+0.00,+0.001,+0.0,0,
31,0.330,+0.000,-0.014,+0.015,+0.120,-0.000,+0.005,-0.005,-0.009,+0.039,-0.051,-1.06,-0.00,-13.03,-0.000,+0.081,1,+0.037,+0.00,+0.038,+0.0,0,
32,0.331,+0.001,-0.012,+0.017,+0.122,-0.000,+0.004,-0.006,-0.001,+0.036,-0.048,-1.13,+0.00,-12.93,+0.000,+0.087,1,+0.047,+0.00,+0.049,+0.0,0,
