step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.282,+0.000,-0.152,-0.000,+0.025,-0.000,+0.051,+0.000,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
1,0.282,+0.000,-0.125,-0.000,+0.025,-0.000,+0.042,+0.000,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,+0.068,+0.00,+0.070,+0.0,0,
2,0.282,-0.001,-0.104,-0.000,+0.025,+0.000,+0.035,+0.000,-0.009,-0.006,+0.004,-2.70,+0.01,-9.38,+0.001,+0.280,1,-0.009,+0.00,-0.007,+0.0,0,
3,0.282,-0.000,-0.050,-0.000,+0.025,+0.000,+0.017,+0.000,+0.001,+0.314,+0.001,-1.15,+0.01,-10.11,+0.001,+0.113,1,+0.004,+0.00,+0.006,+0.0,0,
4,0.282,-0.000,-0.040,-0.000,+0.025,+0.000,+0.013,+0.000,+0.001,+0.289,-0.001,-0.01,+0.00,-9.85,+0.000,+0.001,1,+0.014,+0.00,+0.015,+0.0,0,
5,0.282,-0.000,-0.058,-0.000,+0.025,+0.000,+0.019,+0.000,+0.000,+0.091,-0.000,-0.01,+0.00,-10.44,+0.000,+0.001,1,+0.017,+0.00,+0.019,+0.0,0,
6,0.282,-0.000,-0.053,-0.000,+0.025,+0.000,+0.018,+0.000,+0.000,+0.140,+0.000,-0.02,+0.00,-10.65,+0.000,+0.001,1,+0.005,+0.00,+0.007,+0.0,0,
7,0.282,-0.000,-0.047,-0.000,+0.025,+0.000,+0.016,+0.000,+0.000,+0.163,+0.000,-0.02,+0.00,-10.76,+0.000,+0.002,1,+0.020,+0.00,+0.021,+0.0,0,
8,0.282,-0.000,-0.047,-0.000,+0.025,+0.000,+0.016,+0.000,+0.000,+0.132,-0.000,-0.03,+0.00,-10.80,+0.000,+0.002,1,+0.017,+0.00,+0.018,+0.0,0,
9,0.282,-0.000,-0.045,-0.000,+0.025,+0.000,+0.015,+0.000,+0.000,+0.130,-0.000,-0.03,+0.00,-10.81,+0.000,+0.003,1,-0.155,+0.00,-0.153,+0.0,0,
10,0.282,-0.000,-0.044,-0.000,+0.025,+0.000,+0.015,+0.000,+0.000,+0.127,-0.000,-0.04,+0.00,-10.80,+0.000,+0.004,1,+0.057,+0.00,+0.058,+0.0,0,
11,0.282,-0.000,-0.045,-0.000,+0.025,+0.000,+0.015,+0.000,+0.000,+0.121,+0.000,-0.05,+0.00,-10.79,+0.000,+0.004,1,+0.007,+0.00,+0.009,+0.0,0,
12,0.282,-0.000,-0.043,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.119,+0.000,-0.06,+0.00,-10.78,+0.000,+0.005,1,-0.005,+0.00,-0.003,+0.0,0,
13,0.282,-0.000,-0.042,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.116,-0.000,-0.07,+0.00,-10.77,+0.000,+0.007,1,+0.000,+0.00,+0.002,+0.0,0,
14,0.282,-0.000,-0.042,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.112,-0.000,-0.08,+0.00,-10.76,+0.000,+0.008,1,-0.001,+0.00,+0.001,+0.0,0,
15,0.282,-0.000,-0.041,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.110,+0.000,-0.10,+0.00,-10.75,+0.000,+0.009,1,-0.013,+0.00,-0.012,+0.0,0,
16,0.282,-0.000,-0.042,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.107,+0.000,-0.12,+0.00,-10.73,+0.000,+0.011,1,-0.002,+0.00,+0.000,+0.0,0,
17,0.282,-0.000,-0.041,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.107,-0.000,-0.13,+0.00,-10.72,+0.000,+0.012,1,-0.008,+0.00,-0.006,+0.0,0,
