step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.282,+0.000,-0.152,-0.000,+0.025,-0.000,+0.051,+0.000,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
1,0.282,+0.000,-0.125,-0.000,+0.025,-0.000,+0.042,+0.000,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.006,+0.00,-0.005,+0.0,0,
2,0.282,-0.001,-0.101,-0.000,+0.025,+0.000,+0.034,+0.000,-0.008,-0.004,+0.002,-2.95,+0.03,-9.42,+0.003,+0.303,1,-0.006,+0.00,-0.004,+0.0,0,
3,0.282,+0.000,-0.056,-0.000,+0.025,-0.000,+0.019,+0.000,+0.001,+0.239,+0.001,-1.49,+0.01,-10.18,+0.001,+0.145,1,+0.000,+0.00,+0.002,+0.0,0,
4,0.282,+0.000,-0.033,-0.000,+0.025,-0.000,+0.011,+0.000,-0.000,+0.336,-0.000,-0.02,-0.00,-9.65,-0.000,+0.002,1,-0.004,+0.00,-0.002,+0.0,0,
5,0.282,+0.000,-0.055,-0.000,+0.025,-0.000,+0.018,+0.000,-0.000,+0.090,-0.000,-0.01,-0.00,-10.36,-0.000,+0.001,1,-0.000,+0.00,+0.001,+0.0,0,
6,0.282,+0.000,-0.048,-0.000,+0.025,-0.000,+0.016,+0.000,+0.000,+0.140,+0.000,-0.02,-0.00,-10.65,-0.000,+0.001,1,-0.004,+0.00,-0.002,+0.0,0,
7,0.282,+0.000,-0.044,-0.000,+0.025,-0.000,+0.015,+0.000,-0.000,+0.160,+0.000,-0.02,-0.00,-10.75,-0.000,+0.002,1,-0.004,+0.00,-0.002,+0.0,0,
8,0.282,+0.000,-0.046,-0.000,+0.025,-0.000,+0.015,+0.000,-0.000,+0.125,+0.000,-0.02,-0.00,-10.79,-0.000,+0.002,1,-0.001,+0.00,+0.001,+0.0,0,
9,0.282,+0.000,-0.044,-0.000,+0.025,-0.000,+0.015,+0.000,-0.000,+0.127,-0.000,-0.03,-0.00,-10.81,-0.000,+0.003,1,+0.004,+0.00,+0.005,+0.0,0,
10,0.282,+0.000,-0.043,-0.000,+0.025,-0.000,+0.014,+0.000,-0.000,+0.124,-0.000,-0.04,-0.00,-10.80,-0.000,+0.004,1,-0.004,+0.00,-0.002,+0.0,0,
11,0.282,+0.000,-0.042,-0.000,+0.025,-0.000,+0.014,+0.000,-0.000,+0.117,+0.000,-0.05,-0.00,-10.79,-0.000,+0.004,1,+0.004,+0.00,+0.005,+0.0,0,
12,0.282,+0.000,-0.043,-0.000,+0.025,-0.000,+0.014,+0.000,-0.000,+0.115,+0.000,-0.06,+0.00,-10.79,+0.000,+0.005,1,-0.005,+0.00,-0.003,+0.0,0,
13,0.282,+0.000,-0.042,-0.000,+0.025,-0.000,+0.014,+0.000,-0.000,+0.115,-0.000,-0.07,+0.00,-10.77,+0.000,+0.006,1,+0.002,+0.00,+0.003,+0.0,0,
14,0.282,-0.000,-0.041,-0.000,+0.025,+0.000,+0.014,+0.000,-0.000,+0.112,-0.000,-0.08,-0.00,-10.76,-0.000,+0.008,1,+0.004,+0.00,+0.005,+0.0,0,
15,0.282,-0.000,-0.041,-0.000,+0.025,+0.000,+0.014,+0.000,-0.000,+0.108,+0.000,-0.10,-0.00,-10.75,-0.000,+0.009,1,-0.006,+0.00,-0.005,+0.0,0,
