step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.282,+0.000,-0.152,-0.000,+0.025,-0.000,+0.051,+0.000,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
1,0.282,+0.000,-0.125,-0.000,+0.025,-0.000,+0.042,+0.000,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.008,+0.00,-0.006,+0.0,0,
2,0.282,-0.001,-0.102,-0.000,+0.025,+0.000,+0.034,+0.000,-0.007,-0.004,+0.003,-2.93,+0.02,-9.41,+0.002,+0.302,1,-0.003,+0.00,-0.001,+0.0,0,
3,0.282,+0.000,-0.056,-0.000,+0.025,-0.000,+0.019,+0.000,+0.001,+0.242,+0.001,-1.51,+0.02,-10.21,+0.002,+0.146,1,-0.015,+0.00,-0.013,+0.0,0,
4,0.282,-0.000,-0.029,-0.000,+0.025,+0.000,+0.010,+0.000,-0.000,+0.360,-0.000,-0.02,-0.00,-9.65,-0.000,+0.003,1,-0.010,+0.00,-0.008,+0.0,0,
5,0.282,-0.000,-0.053,-0.000,+0.025,+0.000,+0.018,+0.000,-0.000,+0.096,-0.000,-0.01,-0.00,-10.36,-0.000,+0.001,1,-0.019,+0.00,-0.017,+0.0,0,
6,0.282,-0.000,-0.051,-0.000,+0.025,+0.000,+0.017,+0.000,+0.000,+0.115,+0.000,-0.01,+0.00,-10.65,+0.000,+0.001,1,+0.005,+0.00,+0.007,+0.0,0,
7,0.282,-0.000,-0.043,-0.000,+0.025,+0.000,+0.014,+0.000,-0.000,+0.162,+0.000,-0.02,+0.00,-10.75,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
8,0.282,-0.000,-0.045,-0.000,+0.025,+0.000,+0.015,+0.000,-0.000,+0.126,-0.000,-0.02,-0.00,-10.80,-0.000,+0.002,1,-0.008,+0.00,-0.006,+0.0,0,
9,0.282,-0.000,-0.044,-0.000,+0.025,+0.000,+0.015,+0.000,+0.000,+0.124,-0.000,-0.03,+0.00,-10.81,+0.000,+0.003,1,+0.010,+0.00,+0.012,+0.0,0,
10,0.282,-0.000,-0.042,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.124,-0.000,-0.04,-0.00,-10.80,-0.000,+0.004,1,-0.009,+0.00,-0.007,+0.0,0,
11,0.282,-0.000,-0.043,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.116,+0.000,-0.05,+0.00,-10.79,+0.000,+0.005,1,+0.000,+0.00,+0.002,+0.0,0,
12,0.282,-0.000,-0.042,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.115,+0.000,-0.06,+0.00,-10.79,+0.000,+0.005,1,+0.009,+0.00,+0.011,+0.0,0,
13,0.282,-0.000,-0.042,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.113,-0.000,-0.06,+0.00,-10.77,+0.000,+0.006,1,-0.009,+0.00,-0.007,+0.0,0,
14,0.282,-0.000,-0.041,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.110,-0.000,-0.08,-0.00,-10.76,-0.000,+0.008,1,+0.005,+0.00,+0.007,+0.0,0,
15,0.282,-0.000,-0.041,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.108,+0.000,-0.10,+0.00,-10.75,+0.000,+0.009,1,-0.006,+0.00,-0.005,+0.0,0,
16,0.282,-0.000,-0.041,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.106,+0.000,-0.12,+0.00,-10.73,+0.000,+0.011,1,+0.009,+0.00,+0.010,+0.0,0,
17,0.282,-0.000,-0.040,-0.000,+0.025,+0.000,+0.013,+0.000,+0.000,+0.106,+0.000,-0.13,-0.00,-10.73,-0.000,+0.012,1,-0.000,+0.00,+0.002,+0.0,0,
18,0.282,-0.000,-0.040,-0.000,+0.025,+0.000,+0.013,+0.000,+0.000,+0.105,-0.000,-0.15,-0.00,-10.71,-0.000,+0.014,1,+0.001,+0.00,+0.003,+0.0,0,
